Date and Time,Farmbot Response
12/06/2019 09:46:57,INFO: 56 loops have passed.
12/06/2019 09:46:58,INFO: 57 loops have passed.
12/06/2019 09:46:59,INFO: 58 loops have passed.
12/06/2019 09:47:00,INFO: 59 loops have passed.
12/06/2019 09:47:01,INFO: 60 loops have passed.
12/06/2019 09:47:02,INFO: 61 loops have passed.
12/06/2019 09:47:03,INFO: 62 loops have passed.
12/06/2019 09:47:04,INFO: 63 loops have passed.
12/06/2019 09:47:05,INFO: 64 loops have passed.
12/06/2019 09:47:06,INFO: 65 loops have passed.
12/06/2019 09:47:07,INFO: 66 loops have passed.
12/06/2019 09:47:08,INFO: 67 loops have passed.
12/06/2019 09:47:09,INFO: 68 loops have passed.
12/06/2019 09:47:10,INFO: 69 loops have passed.
12/06/2019 09:47:11,INFO: 70 loops have passed.
12/06/2019 09:47:12,INFO: 71 loops have passed.
12/06/2019 09:47:13,INFO: 72 loops have passed.
12/06/2019 09:47:14,INFO: 73 loops have passed.
12/06/2019 09:47:15,INFO: 74 loops have passed.
12/06/2019 09:47:16,INFO: 75 loops have passed.
12/06/2019 09:47:17,INFO: 76 loops have passed.
12/06/2019 09:47:18,INFO: 77 loops have passed.
12/06/2019 09:47:19,INFO: 78 loops have passed.
12/06/2019 09:47:20,INFO: 79 loops have passed.
12/06/2019 09:47:21,INFO: 80 loops have passed.
12/06/2019 09:47:22,INFO: 81 loops have passed.
12/06/2019 09:47:23,INFO: 82 loops have passed.
12/06/2019 09:47:24,INFO: 83 loops have passed.
12/06/2019 09:47:25,INFO: 84 loops have passed.
12/06/2019 09:47:26,INFO: 85 loops have passed.
12/06/2019 09:47:27,INFO: 86 loops have passed.
12/06/2019 09:47:28,INFO: 87 loops have passed.
12/06/2019 09:47:29,INFO: 88 loops have passed.
12/06/2019 09:47:30,INFO: 89 loops have passed.
12/06/2019 09:47:31,INFO: 90 loops have passed.
12/06/2019 09:47:32,INFO: 91 loops have passed.
12/06/2019 09:47:33,INFO: 92 loops have passed.
12/06/2019 09:47:34,INFO: 93 loops have passed.
12/06/2019 09:47:35,INFO: 94 loops have passed.
12/06/2019 09:47:36,INFO: 95 loops have passed.
12/06/2019 09:47:37,INFO: 96 loops have passed.
12/06/2019 09:47:38,INFO: 97 loops have passed.
12/06/2019 09:47:39,INFO: 98 loops have passed.
12/06/2019 09:47:40,INFO: 99 loops have passed.
12/06/2019 09:47:41,INFO: 100 loops have passed.
12/06/2019 09:47:42,INFO: 101 loops have passed.
12/06/2019 09:47:43,INFO: 102 loops have passed.
12/06/2019 09:47:44,INFO: 103 loops have passed.
12/06/2019 09:47:45,INFO: 104 loops have passed.
12/06/2019 09:47:46,INFO: 105 loops have passed.
12/06/2019 09:47:47,INFO: 106 loops have passed.
12/06/2019 09:47:52,Setup Complete
12/06/2019 09:47:53,INFO: 0 loops have passed.
12/06/2019 09:47:54,INFO: 1 loops have passed.
12/06/2019 09:47:55,INFO: 2 loops have passed.
12/06/2019 09:47:56,INFO: 3 loops have passed.
12/06/2019 09:47:57,INFO: 4 loops have passed.
12/06/2019 09:47:58,INFO: 5 loops have passed.
12/06/2019 09:47:59,INFO: 6 loops have passed.
12/06/2019 09:48:00,INFO: 7 loops have passed.
12/06/2019 09:48:01,INFO: 8 loops have passed.
12/06/2019 09:48:02,INFO: 9 loops have passed.
12/06/2019 09:48:03,INFO: 10 loops have passed.
12/06/2019 09:48:04,INFO: 11 loops have passed.
12/06/2019 09:48:05,INFO: 12 loops have passed.
12/06/2019 09:48:06,INFO: 13 loops have passed.
12/06/2019 09:48:07,INFO: 14 loops have passed.
12/06/2019 09:48:08,INFO: 15 loops have passed.
12/06/2019 09:48:09,INFO: 16 loops have passed.
12/06/2019 09:48:10,INFO: 17 loops have passed.
12/06/2019 09:48:11,INFO: 18 loops have passed.
12/06/2019 09:48:12,INFO: 19 loops have passed.
12/06/2019 09:48:13,INFO: 20 loops have passed.
12/06/2019 09:48:14,INFO: 21 loops have passed.
12/06/2019 09:48:15,INFO: 22 loops have passed.
12/06/2019 09:48:16,INFO: 23 loops have passed.
12/06/2019 09:48:17,INFO: 24 loops have passed.
12/06/2019 09:48:18,INFO: 25 loops have passed.
12/06/2019 09:48:19,INFO: 26 loops have passed.
12/06/2019 09:48:20,INFO: 27 loops have passed.
12/06/2019 09:48:21,INFO: 28 loops have passed.
12/06/2019 09:48:22,INFO: 29 loops have passed.
12/06/2019 09:48:23,INFO: 30 loops have passed.
12/06/2019 09:48:24,INFO: 31 loops have passed.
12/06/2019 09:48:25,INFO: 32 loops have passed.
12/06/2019 09:48:26,INFO: 33 loops have passed.
12/06/2019 09:48:27,INFO: 34 loops have passed.
12/06/2019 09:48:28,INFO: 35 loops have passed.
12/06/2019 09:48:29,INFO: 36 loops have passed.
12/06/2019 09:48:30,INFO: 37 loops have passed.
12/06/2019 09:48:31,INFO: 38 loops have passed.
12/06/2019 09:48:32,INFO: 39 loops have passed.
12/06/2019 09:48:33,INFO: 40 loops have passed.
12/06/2019 09:48:34,INFO: 41 loops have passed.
12/06/2019 09:48:35,INFO: 42 loops have passed.
12/06/2019 09:48:36,INFO: 43 loops have passed.
12/06/2019 09:48:37,INFO: 44 loops have passed.
12/06/2019 09:48:38,INFO: 45 loops have passed.
12/06/2019 09:48:39,INFO: 46 loops have passed.
12/06/2019 09:48:40,INFO: 47 loops have passed.
12/06/2019 09:48:41,INFO: 48 loops have passed.
12/06/2019 09:48:42,INFO: 49 loops have passed.
12/06/2019 09:48:43,INFO: 50 loops have passed.
12/06/2019 09:48:44,INFO: 51 loops have passed.
12/06/2019 09:48:45,INFO: 52 loops have passed.
12/06/2019 09:48:46,INFO: 53 loops have passed.
12/06/2019 09:48:47,INFO: 54 loops have passed.
12/06/2019 09:48:48,INFO: 55 loops have passed.
12/06/2019 09:48:49,INFO: 56 loops have passed.
12/06/2019 09:48:50,INFO: 57 loops have passed.
12/06/2019 09:48:51,INFO: 58 loops have passed.
12/06/2019 09:48:52,INFO: 59 loops have passed.
12/06/2019 09:48:53,INFO: 60 loops have passed.
12/06/2019 09:48:54,INFO: 61 loops have passed.
12/06/2019 09:48:55,INFO: 62 loops have passed.
12/06/2019 09:48:56,INFO: 63 loops have passed.
12/06/2019 09:48:57,INFO: 64 loops have passed.
12/06/2019 09:48:58,INFO: 65 loops have passed.
12/06/2019 09:48:59,INFO: 66 loops have passed.
12/06/2019 09:49:00,INFO: 67 loops have passed.
12/06/2019 09:49:01,INFO: 68 loops have passed.
12/06/2019 09:49:02,INFO: 69 loops have passed.
12/06/2019 09:49:03,INFO: 70 loops have passed.
12/06/2019 09:49:04,INFO: 71 loops have passed.
12/06/2019 09:49:05,INFO: 72 loops have passed.
12/06/2019 09:49:06,INFO: 73 loops have passed.
12/06/2019 09:49:07,INFO: 74 loops have passed.
12/06/2019 09:49:08,INFO: 75 loops have passed.
12/06/2019 09:49:09,INFO: 76 loops have passed.
12/06/2019 09:49:10,INFO: 77 loops have passed.
12/06/2019 09:49:11,INFO: 78 loops have passed.
12/06/2019 09:49:12,INFO: 79 loops have passed.
12/06/2019 09:49:13,INFO: 80 loops have passed.
12/06/2019 09:49:14,INFO: 81 loops have passed.
12/06/2019 09:49:15,INFO: 82 loops have passed.
12/06/2019 09:49:16,INFO: 83 loops have passed.
12/06/2019 09:49:17,INFO: 84 loops have passed.
12/06/2019 09:49:18,INFO: 85 loops have passed.
12/06/2019 09:49:19,INFO: 86 loops have passed.
12/06/2019 09:49:20,INFO: 87 loops have passed.
12/06/2019 09:49:21,INFO: 88 loops have passed.
12/06/2019 09:49:22,INFO: 89 loops have passed.
12/06/2019 09:49:23,INFO: 90 loops have passed.
12/06/2019 09:49:24,INFO: 91 loops have passed.
12/06/2019 09:49:25,INFO: 92 loops have passed.
12/06/2019 09:49:26,INFO: 93 loops have passed.
12/06/2019 09:49:27,INFO: 94 loops have passed.
12/06/2019 09:49:28,INFO: 95 loops have passed.
12/06/2019 09:49:29,INFO: 96 loops have passed.
12/06/2019 09:49:30,INFO: 97 loops have passed.
12/06/2019 09:49:31,INFO: 98 loops have passed.
12/06/2019 09:49:32,INFO: 99 loops have passed.
12/06/2019 09:49:33,INFO: 100 loops have passed.
12/06/2019 09:49:34,INFO: 101 loops have passed.
12/06/2019 09:49:35,INFO: 102 loops have passed.
12/06/2019 09:49:36,INFO: 103 loops have passed.
12/06/2019 09:49:37,INFO: 104 loops have passed.
12/06/2019 09:49:38,INFO: 105 loops have passed.
12/06/2019 09:49:39,INFO: 106 loops have passed.
12/06/2019 09:49:40,INFO: 107 loops have passed.
12/06/2019 09:49:41,INFO: 108 loops have passed.
12/06/2019 09:49:42,INFO: 109 loops have passed.
12/06/2019 09:49:43,INFO: 110 loops have passed.
12/06/2019 09:49:44,INFO: 111 loops have passed.
12/06/2019 09:49:45,INFO: 112 loops have passed.
12/06/2019 09:49:46,INFO: 113 loops have passed.
12/06/2019 09:49:47,INFO: 114 loops have passed.
12/06/2019 09:49:48,INFO: 115 loops have passed.
12/06/2019 09:49:49,INFO: 116 loops have passed.
12/06/2019 09:49:50,INFO: 117 loops have passed.
12/06/2019 09:49:51,INFO: 118 loops have passed.
12/06/2019 09:49:52,INFO: 119 loops have passed.
12/06/2019 09:49:53,INFO: 120 loops have passed.
12/06/2019 09:49:54,INFO: 121 loops have passed.
12/06/2019 09:49:55,INFO: 122 loops have passed.
12/06/2019 09:49:56,INFO: 123 loops have passed.
12/06/2019 09:49:57,INFO: 124 loops have passed.
12/06/2019 09:49:58,INFO: 125 loops have passed.
12/06/2019 09:49:59,INFO: 126 loops have passed.
12/06/2019 09:50:00,INFO: 127 loops have passed.
12/06/2019 09:50:01,INFO: 128 loops have passed.
12/06/2019 09:50:02,INFO: 129 loops have passed.
12/06/2019 09:50:03,INFO: 130 loops have passed.
12/06/2019 09:50:04,INFO: 131 loops have passed.
12/06/2019 09:50:05,INFO: 132 loops have passed.
12/06/2019 09:50:06,INFO: 133 loops have passed.
12/06/2019 09:50:07,INFO: 134 loops have passed.
12/06/2019 09:50:08,INFO: 135 loops have passed.
12/06/2019 09:50:09,INFO: 136 loops have passed.
12/06/2019 09:50:10,INFO: 137 loops have passed.
12/06/2019 09:50:11,INFO: 138 loops have passed.
12/06/2019 09:50:12,INFO: 139 loops have passed.
12/06/2019 09:50:13,INFO: 140 loops have passed.
12/06/2019 09:50:14,INFO: 141 loops have passed.
12/06/2019 09:50:15,INFO: 142 loops have passed.
12/06/2019 09:50:16,INFO: 143 loops have passed.
12/06/2019 09:50:17,INFO: 144 loops have passed.
12/06/2019 09:50:18,INFO: 145 loops have passed.
12/06/2019 09:50:19,INFO: 146 loops have passed.
12/06/2019 09:50:49,Setup Complete
12/06/2019 09:50:50,INFO: 0 loops have passed.
12/06/2019 09:50:51,INFO: 1 loops have passed.
12/06/2019 09:50:52,INFO: 2 loops have passed.
12/06/2019 09:50:53,INFO: 3 loops have passed.
12/06/2019 09:50:54,INFO: 4 loops have passed.
12/06/2019 09:50:55,INFO: 5 loops have passed.
12/06/2019 09:50:56,INFO: 6 loops have passed.
12/06/2019 09:50:57,INFO: 7 loops have passed.
12/06/2019 09:50:58,INFO: 8 loops have passed.
12/06/2019 09:50:59,INFO: 9 loops have passed.
12/06/2019 09:51:00,INFO: 10 loops have passed.
12/06/2019 09:51:01,INFO: 11 loops have passed.
12/06/2019 09:51:02,INFO: 12 loops have passed.
12/06/2019 09:51:03,INFO: 13 loops have passed.
12/06/2019 09:51:04,INFO: 14 loops have passed.
12/06/2019 09:51:05,INFO: 15 loops have passed.
12/06/2019 09:51:06,INFO: 16 loops have passed.
12/06/2019 09:51:07,INFO: 17 loops have passed.
12/06/2019 09:51:08,INFO: 18 loops have passed.
12/06/2019 09:51:09,INFO: 19 loops have passed.
12/06/2019 09:51:10,INFO: 20 loops have passed.
12/06/2019 09:52:46,ed.
12/06/2019 09:52:46,INFO: 112 loops have passed.
12/06/2019 09:52:46,INFO: 113 loops have passed.
12/06/2019 09:52:46,INFO: 114 loops have passed.
12/06/2019 09:52:46,INFO: 115 loops have passed.
12/06/2019 09:52:46,assed.
12/06/2019 09:52:46,INFO: 112 loops have passed.
12/06/2019 09:52:46,INFO: 113 loops have passed.
12/06/2019 09:52:46,INFO: 114 loops have passed.
12/06/2019 09:52:46,INFO: 115 loops have passed.
12/06/2019 09:52:48,Setup Complete
12/06/2019 09:52:49,INFO: 0 loops have passed.
12/06/2019 09:52:50,INFO: 1 loops have passed.
12/06/2019 09:52:51,INFO: 2 loops have passed.
12/06/2019 09:52:52,INFO: 3 loops have passed.
12/06/2019 09:52:53,INFO: 4 loops have passed.
12/06/2019 09:52:54,INFO: 5 loops have passed.
12/06/2019 09:52:55,INFO: 6 loops have passed.
12/06/2019 09:52:56,INFO: 7 loops have passed.
12/06/2019 09:52:57,INFO: 8 loops have passed.
12/06/2019 09:52:58,INFO: 9 loops have passed.
12/06/2019 09:52:59,INFO: 10 loops have passed.
12/06/2019 09:53:00,INFO: 11 loops have passed.
12/06/2019 09:53:01,INFO: 12 loops have passed.
12/06/2019 09:53:02,INFO: 13 loops have passed.
12/06/2019 09:53:03,INFO: 14 loops have passed.
12/06/2019 09:53:04,INFO: 15 loops have passed.
12/06/2019 09:53:05,INFO: 16 loops have passed.
12/06/2019 09:53:06,INFO: 17 loops have passed.
12/06/2019 09:53:07,INFO: 18 loops have passed.
12/06/2019 09:53:08,INFO: 19 loops have passed.
12/06/2019 09:53:09,INFO: 20 loops have passed.
12/06/2019 09:53:10,INFO: 21 loops have passed.
12/06/2019 09:53:11,INFO: 22 loops have passed.
12/06/2019 09:53:12,INFO: 23 loops have passed.
12/06/2019 09:53:13,INFO: 24 loops have passed.
12/06/2019 09:53:14,INFO: 25 loops have passed.
12/06/2019 09:53:15,INFO: 26 loops have passed.
12/06/2019 09:53:16,INFO: 27 loops have passed.
12/06/2019 09:53:17,INFO: 28 loops have passed.
12/06/2019 09:53:18,INFO: 29 loops have passed.
12/06/2019 09:53:19,INFO: 30 loops have passed.
12/06/2019 09:53:20,INFO: 31 loops have passed.
12/06/2019 09:53:21,INFO: 32 loops have passed.
12/06/2019 09:53:22,INFO: 33 loops have passed.
12/06/2019 09:53:23,INFO: 34 loops have passed.
12/06/2019 09:53:24,INFO: 35 loops have passed.
12/06/2019 09:53:25,INFO: 36 loops have passed.
12/06/2019 09:53:26,INFO: 37 loops have passed.
12/06/2019 09:53:27,INFO: 38 loops have passed.
12/06/2019 09:53:28,INFO: 39 loops have passed.
12/06/2019 09:53:29,INFO: 40 loops have passed.
12/06/2019 09:53:30,INFO: 41 loops have passed.
12/06/2019 09:53:31,INFO: 42 loops have passed.
12/06/2019 09:53:32,INFO: 43 loops have passed.
12/06/2019 09:53:33,INFO: 44 loops have passed.
12/06/2019 09:53:34,INFO: 45 loops have passed.
12/06/2019 09:53:35,INFO: 46 loops have passed.
12/06/2019 09:53:36,INFO: 47 loops have passed.
12/06/2019 09:53:37,INFO: 48 loops have passed.
12/06/2019 09:53:38,INFO: 49 loops have passed.
12/06/2019 09:53:39,INFO: 50 loops have passed.
12/06/2019 09:53:40,INFO: 51 loops have passed.
12/06/2019 09:53:41,INFO: 52 loops have passed.
12/06/2019 09:53:42,INFO: 53 loops have passed.
12/06/2019 09:53:43,INFO: 54 loops have passed.
12/06/2019 09:53:44,INFO: 55 loops have passed.
12/06/2019 09:53:45,INFO: 56 loops have passed.
12/06/2019 09:53:46,INFO: 57 loops have passed.
12/06/2019 09:53:47,INFO: 58 loops have passed.
12/06/2019 09:53:48,INFO: 59 loops have passed.
12/06/2019 09:53:49,INFO: 60 loops have passed.
12/06/2019 09:53:50,INFO: 61 loops have passed.
12/06/2019 09:53:51,INFO: 62 loops have passed.
12/06/2019 09:53:52,INFO: 63 loops have passed.
12/06/2019 09:53:53,INFO: 64 loops have passed.
12/06/2019 09:53:54,INFO: 65 loops have passed.
12/06/2019 09:53:55,INFO: 66 loops have passed.
12/06/2019 09:53:56,INFO: 67 loops have passed.
12/06/2019 09:53:57,INFO: 68 loops have passed.
12/06/2019 09:53:58,INFO: 69 loops have passed.
12/06/2019 09:53:59,INFO: 70 loops have passed.
12/06/2019 09:54:00,INFO: 71 loops have passed.
12/06/2019 09:54:01,INFO: 72 loops have passed.
12/06/2019 09:54:02,INFO: 73 loops have passed.
12/06/2019 09:54:03,INFO: 74 loops have passed.
12/06/2019 09:54:04,INFO: 75 loops have passed.
12/06/2019 09:54:05,INFO: 76 loops have passed.
12/06/2019 09:54:06,INFO: 77 loops have passed.
12/06/2019 09:54:07,INFO: 78 loops have passed.
12/06/2019 09:54:08,INFO: 79 loops have passed.
12/06/2019 09:54:09,INFO: 80 loops have passed.
